2 27,40088 0 0 0 0 347 347 372 373 255 0 -13 12,21121 1,462948 -14,3365
2 27,6059 0 0 0 0 347 347 372 373 255 0 -12 13,87599 1,24012 -12,77619
2 27,81107 0 0 0 0 347 347 371 372 255 0 -11 12,8874 0,8697334 -13,18723
2 28,02298 0 0 0 0 347 348 371 373 255 0 -10 11,73327 0,5198903 -13,4901
2 28,21085 0 0 0 0 347 348 371 373 255 0 -9 13,05911 -0,0418965 -11,75673
2 28,40029 0 0 0 0 347 348 371 372 255 0 -8 12,95346 -0,4994976 -11,09267
2 28,56894 0 0 0 0 347 348 371 372 76 0 -7 11,35606 -0,4524359 -12,43196
2 28,59592 0 0 0 0 347 348 369 371 76 0 -6 17,49421 -0,6064118 -2,256769
2 28,55674 0 0 0 0 347 348 368 371 76 0 -6 17,52494 -0,3487075 1,803321
2 28,5235 0 0 0 0 347 348 368 370 76 0 -5 16,73577 -0,1494566 2,765953
2 28,51124 0 0 0 0 347 348 368 370 255 0 -5 15,51329 0,1560049 1,671242
2 28,6433 0 0 0 0 347 348 368 370 255 0 -4 10,75011 0,4285081 -9,624364
2 28,64347 0 0 0 0 347 348 367 369 255 0 -4 12,47927 0,03564864 -3,71242
2 28,81478 0 0 0 0 347 348 366 368 255 0 -3 9,131157 -0,07327083 -10,28978
2 29,01966 0 0 0 0 347 348 366 368 255 0 -3 7,25313 -0,5473701 -12,40716
2 29,23149 0 0 0 0 347 348 366 368 255 0 -2 5,092904 -0,5110168 -14,35909
2 29,48487 0 0 0 0 347 348 366 369 255 0 -1 3,545482 -0,425851 -15,44406
2 29,77119 0 0 0 0 347 348 366 369 255 0 -1 3,371149 0,2374996 -15,71081
2 29,99907 0 0 0 0 347 348 366 368 255 0 0 3,287992 0,4010589 -15,23391
2 30,24188 0 0 0 0 347 348 367 369 255 0 0 2,448982 0,6626467 -14,56242
2 30,49777 0 0 0 0 347 348 368 370 255 0 0 0,8681399 0,6756862 -13,90657
2 30,70174 0 0 0 0 347 347 368 370 255 0 1 0,601423 0,3745598 -13,57818
